idx,text,text_pp,label_true,label_vm_orig,label_vm_pphrase,vm_orig_truelabel,vm_pp_truelabel,vm_truelabel_change,vm_orig_class0,vm_orig_class1,vm_pp_class0,vm_pp_class1
0,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .","The rock is destined to be the 21st century's new conan, and that he's going to make a splash even greater than arnold schwarzenegger, jean-claud van damme or steven segal.",1,1,1,0.85555583,0.87885106,-0.023295224,0.14444415,0.85555583,0.121148914,0.87885106
1,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .","The rock is destined to be the 21st century's new conan, and he's going to make a splash even greater than arnold schwarzenegger, jean-claud van damme or steven segal.",1,1,1,0.85555583,0.8771875,-0.021631658,0.14444415,0.85555583,0.122812495,0.8771875
2,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",Peter Jackson's expanded vision of j. r. tolkien's middle-earth is so huge that a column of words cannot adequately describe it.,1,1,0,0.8458405,0.10774321,0.7380973,0.15415949,0.8458405,0.89225674,0.10774321
3,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",Peter Jackson's expanded vision of j. r. tolkien's middle-earth is so large that a column of words cannot adequately describe it.,1,1,0,0.8458405,0.10133025,0.7445103,0.15415949,0.8458405,0.8986698,0.10133025
4,effective but too-tepid biopic,The film is too-tepid.,1,0,0,0.28647137,0.059405755,0.22706561,0.71352863,0.28647137,0.94059426,0.059405755
5,effective but too-tepid biopic,"The film is effective, but too-tepid.",1,0,0,0.28647137,0.12506098,0.16141039,0.71352863,0.28647137,0.874939,0.12506098
6,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .","If you like to go to the movies to have fun, wasabi is a good place to start.",1,1,1,0.90685564,0.9028656,0.003990054,0.09314434,0.90685564,0.09713441,0.9028656
7,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",wasabi is a good place to start if you want to have fun at the movies.,1,1,1,0.90685564,0.88017154,0.026684105,0.09314434,0.90685564,0.11982848,0.88017154
8,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",It's an issue movie that's so honest and candid that it doesn't feel like one.,1,1,1,0.91677755,0.7696497,0.14712787,0.083222464,0.91677755,0.23035033,0.7696497
9,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",It's an issue movie that's so honest that it doesn't feel like one.,1,1,1,0.91677755,0.51511973,0.40165782,0.083222464,0.91677755,0.48488027,0.51511973
10,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,"The film gives a great insight into the neurotic mindset of all comics, even those who have reached the absolute top of the game.",1,1,1,0.95356756,0.95758224,-0.004014671,0.046432503,0.95356756,0.042417813,0.95758224
11,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,"The film sheds light on the neurotic mindset of all comics, even those who have reached the absolute top of the game.",1,1,1,0.95356756,0.92710745,0.026460111,0.046432503,0.95356756,0.07289254,0.92710745
12,offers that rare combination of entertainment and education .,There is a rare combination of entertainment and education.,1,1,1,0.9556735,0.9344753,0.021198213,0.04432648,0.9556735,0.065524735,0.9344753
13,offers that rare combination of entertainment and education .,The combination of entertainment and education is rare.,1,1,0,0.9556735,0.4779239,0.47774962,0.04432648,0.9556735,0.5220761,0.4779239
14,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,The road to hell has been shown to be paved with good intentions.,1,1,1,0.65816957,0.860713,-0.20254344,0.3418305,0.65816957,0.13928701,0.860713
15,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,It has been shown that the road to hell is paved with good intentions.,1,1,1,0.65816957,0.8378202,-0.1796506,0.3418305,0.65816957,0.16217986,0.8378202
