idx,text,text_pp,label_true,label_vm_orig,label_vm_pphrase,vm_orig_truelabel,vm_pp_truelabel,vm_truelabel_change,vm_orig_class0,vm_orig_class1,vm_pp_class0,vm_pp_class1
0,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .","The rock is destined to be the 21st century's new conan, and that he's going to make a splash even greater than arnold schwarzenegger, jean-claud van damme or steven segal.",1,1,1,0.85555583,0.87885106,-0.023295224,0.14444415,0.85555583,0.121148914,0.87885106
1,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .","The rock is destined to be the 21st century's new conan, and he's going to make a splash even greater than arnold schwarzenegger, jean-claud van damme or steven segal.",1,1,1,0.85555583,0.8771875,-0.021631658,0.14444415,0.85555583,0.122812495,0.8771875
2,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .","The rock is destined to be the 21st century's new conan and he's going to make a splash even greater than arnold schwarzenegger, jean-claud van damme or steven segal.",1,1,1,0.85555583,0.8728078,-0.017251968,0.14444415,0.85555583,0.12719226,0.8728078
3,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",Peter Jackson's expanded vision of j. r. tolkien's middle-earth is so huge that a column of words cannot adequately describe it.,1,1,0,0.8458405,0.10774321,0.7380973,0.15415949,0.8458405,0.89225674,0.10774321
4,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",Peter Jackson's expanded vision of j. r. tolkien's middle-earth is so large that a column of words cannot adequately describe it.,1,1,0,0.8458405,0.10133025,0.7445103,0.15415949,0.8458405,0.8986698,0.10133025
5,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",Peter Jackson's expanded vision of j. r. tolkien's middle-earth is so huge a column of words cannot adequately describe it.,1,1,0,0.8458405,0.091931306,0.75390923,0.15415949,0.8458405,0.9080687,0.091931306
6,effective but too-tepid biopic,The film is too-tepid.,1,0,0,0.28647137,0.059405755,0.22706561,0.71352863,0.28647137,0.94059426,0.059405755
7,effective but too-tepid biopic,"The film is effective, but too-tepid.",1,0,0,0.28647137,0.12506098,0.16141039,0.71352863,0.28647137,0.874939,0.12506098
8,effective but too-tepid biopic,The film was good but too-tepid.,1,0,0,0.28647137,0.09326278,0.19320859,0.71352863,0.28647137,0.90673727,0.09326278
9,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .","If you like to go to the movies to have fun, wasabi is a good place to start.",1,1,1,0.90685564,0.9028656,0.003990054,0.09314434,0.90685564,0.09713441,0.9028656
10,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",wasabi is a good place to start if you want to have fun at the movies.,1,1,1,0.90685564,0.88017154,0.026684105,0.09314434,0.90685564,0.11982848,0.88017154
11,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",It's a good place to start if you want to have fun at the movies.,1,1,1,0.90685564,0.8799332,0.026922464,0.09314434,0.90685564,0.12006682,0.8799332
12,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",It's an issue movie that's so honest and candid that it doesn't feel like one.,1,1,1,0.91677755,0.7696497,0.14712787,0.083222464,0.91677755,0.23035033,0.7696497
13,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",It's an issue movie that's so honest that it doesn't feel like one.,1,1,1,0.91677755,0.51511973,0.40165782,0.083222464,0.91677755,0.48488027,0.51511973
14,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",It is an issue movie that is so honest and candid that it doesn't feel like one.,1,1,1,0.91677755,0.7965318,0.120245755,0.083222464,0.91677755,0.20346816,0.7965318
