datetime_run,run_name,dataset_name,split,epoch,seed,decode_method_train,decode_method_eval,reward_fn,reward_clip_max,reward_clip_min,reward_base,reward_vm_multiplier,sts_threshold,contradiction_threshold,pp_letter_diff_threshold,pp_name,sts_name,nli_name,vm_name,orig_max_length,use_small_ds,batch_size_train,batch_size_eval,lr,acc_steps,label_flip-mean,label_flip-std,is_valid_pp-mean,is_valid_pp-std,is_adv_example-mean,is_adv_example-std,reward_pp-mean,reward_pp-std,vm_scores-mean,vm_scores-std,sts_scores-mean,sts_scores-std,pp_letter_diff-mean,pp_letter_diff-std,contradiction_scores-mean,contradiction_scores-std,acceptability_scores-mean,acceptability_scores-std,lcp_conditions-mean,lcp_conditions-std,n_pp,any_adv_example_proportion,gen_params_train.do_sample,gen_params_train.temperature,gen_params_train.top_p,gen_params_eval.num_return_sequences,gen_params_eval.do_sample,gen_params_eval.num_beams,gen_params_eval.top_p,gen_params_eval.temperature,gen_params_eval.diversity_penalty,gen_params_eval.num_beam_groups
2022-06-22_150409,morning-sweep-2,rotten_tomatoes,train,0,1001,sample,sample,reward_fn_contradiction_and_letter_diff,10.0,0,0,35.0,0.8,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,textattack/distilbert-base-uncased-rotten-tomatoes,32,False,32,8,0.0001,2,0.08425295013862648,0.1703564681093464,0.45359539217195205,0.3858057702248547,0.02229741113060771,0.06143783877818333,0.5455125729543857,1.1089223940898358,0.05807760391463839,0.11633689638865773,0.8274512627104347,0.10870589837973549,5.3735732735182395,9.086914378097505,0.0806918042611172,0.1528928330252911,0.6429709600159046,0.13929769276440607,0.9947362476803864,0.020013175104216678,43.7156796769852,0.24730820995962316,True,0.85,0.95,48,True,1,0.95,1,,
2022-06-22_150321,revived-sweep-1,rotten_tomatoes,train,0,1000,sample,sample,reward_fn_contradiction_and_letter_diff,10.0,0,0,35.0,0.8,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,textattack/distilbert-base-uncased-rotten-tomatoes,32,False,32,8,0.0001,2,0.08255317756204597,0.16905815592349932,0.4530326818685274,0.38305905156046666,0.021933496044213407,0.06065887263331784,0.5392757433950088,1.0994692167387121,0.05706246953451467,0.11533241149899066,0.8269187247331311,0.10847292189500678,5.318004145931055,9.056106450349919,0.08098039995672182,0.15390518644559298,0.6426318648910037,0.13943176293997603,0.99446308503168,0.020357056642259366,43.73317631224764,0.24831763122476447,True,0.85,0.95,48,True,1,0.95,1,,
2022-06-22_150458,efficient-sweep-3,rotten_tomatoes,train,0,1002,sample,sample,reward_fn_contradiction_and_letter_diff,10.0,0,0,35.0,0.8,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,textattack/distilbert-base-uncased-rotten-tomatoes,32,False,32,8,0.0001,2,0.08400027786454307,0.16951644572161656,0.4528988722586769,0.38512356834278877,0.022160152399908272,0.061640366674854716,0.5416231226119534,1.109295455702217,0.05778990375661812,0.11627859425317753,0.8267818976230663,0.10917746541984194,5.346576266463013,9.052387646139396,0.08067427354413448,0.15323096951313805,0.6433862624301121,0.13948986539972005,0.9946744268471058,0.019259754306060535,43.703230148048455,0.24865410497981158,True,0.85,0.95,48,True,1,0.95,1,,
2022-06-22_150409,morning-sweep-2,rotten_tomatoes,valid,0,1001,sample,sample,reward_fn_contradiction_and_letter_diff,10.0,0,0,35.0,0.8,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,textattack/distilbert-base-uncased-rotten-tomatoes,32,False,32,8,0.0001,2,0.0914069792878872,0.17898835323315485,0.4444467267418802,0.3823016768982529,0.023790726816008034,0.06475095172824144,0.5673668909197963,1.0983103433084433,0.05341852037557135,0.11555350709178684,0.822167544423493,0.1114152037989243,5.254033792737493,9.080460564336466,0.08500627960773223,0.15722270546502215,0.6381165873466094,0.1416896838005371,0.9938359466412936,0.022777362222385755,43.23978201634878,0.2561307901907357,True,0.85,0.95,48,True,1,0.95,1,,
2022-06-22_150458,efficient-sweep-3,rotten_tomatoes,valid,0,1002,sample,sample,reward_fn_contradiction_and_letter_diff,10.0,0,0,35.0,0.8,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,textattack/distilbert-base-uncased-rotten-tomatoes,32,False,32,8,0.0001,2,0.09074977348006678,0.18195681690633045,0.4449043317970136,0.38207515153011207,0.02334397526536455,0.06321182392779601,0.5498931278223458,1.0733988918415012,0.05263584959508826,0.11662424994783915,0.8221675348294554,0.11042057964758463,5.224474912494117,9.017171862948887,0.08632601415713444,0.15921110301163613,0.638744786291326,0.13745731552920049,0.9937611127627848,0.023386375990746788,43.228882833787466,0.2506811989100817,True,0.85,0.95,48,True,1,0.95,1,,
2022-06-22_150321,revived-sweep-1,rotten_tomatoes,valid,0,1000,sample,sample,reward_fn_contradiction_and_letter_diff,10.0,0,0,35.0,0.8,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,textattack/distilbert-base-uncased-rotten-tomatoes,32,False,32,8,0.0001,2,0.09285327567885754,0.18532038920429295,0.4462638873593942,0.38072100365969724,0.025076292836902766,0.06631142127020123,0.567522127849451,1.09862887798068,0.05388916778658741,0.11770784869107244,0.823929324146497,0.11059045948587903,5.372803512655988,9.150064703238316,0.08454495298478706,0.15856206759244615,0.6396868989812867,0.14046377026293766,0.9939794048254591,0.023941290330459386,43.18528610354223,0.2615803814713896,True,0.85,0.95,48,True,1,0.95,1,,
2022-06-22_150409,morning-sweep-2,rotten_tomatoes,test,0,1001,sample,sample,reward_fn_contradiction_and_letter_diff,10.0,0,0,35.0,0.8,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,textattack/distilbert-base-uncased-rotten-tomatoes,32,False,32,8,0.0001,2,0.07661962509596969,0.16576510538358522,0.469490188836246,0.4050798571625298,0.01976115462404293,0.06241109883681459,0.5347333890522225,1.1027576790668243,0.05037100046368492,0.11300550055723094,0.8330481350857455,0.10709964949694524,5.556163662265454,9.11193997890605,0.07993738339530752,0.15376320183240003,0.6471568123908091,0.14129683839663107,0.9955145553124009,0.018736284642892877,43.844011142061284,0.2646239554317549,True,0.85,0.95,48,True,1,0.95,1,,
2022-06-22_150458,efficient-sweep-3,rotten_tomatoes,test,0,1002,sample,sample,reward_fn_contradiction_and_letter_diff,10.0,0,0,35.0,0.8,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,textattack/distilbert-base-uncased-rotten-tomatoes,32,False,32,8,0.0001,2,0.07591599204794752,0.16800872714862147,0.4720219385721827,0.40461876393737556,0.020969630615274296,0.06233855354376438,0.5330014534879857,1.1042692486712815,0.04887255959509775,0.11142849072841406,0.833498896295333,0.10663543138258552,5.522118642601034,9.040586202485947,0.0804642688351579,0.15586122143783365,0.6465799445114371,0.14007833840922387,0.9957499270741185,0.018130687234339533,44.04456824512535,0.25069637883008355,True,0.85,0.95,48,True,1,0.95,1,,
2022-06-22_150321,revived-sweep-1,rotten_tomatoes,test,0,1000,sample,sample,reward_fn_contradiction_and_letter_diff,10.0,0,0,35.0,0.8,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,textattack/distilbert-base-uncased-rotten-tomatoes,32,False,32,8,0.0001,2,0.07769434031201096,0.17008768148418907,0.4727265160920802,0.4026615865384562,0.0208688474635877,0.0638525175313282,0.5402448183383413,1.123823377968018,0.051133495884303354,0.11487918449088184,0.8344108902944299,0.1051455809495417,5.4677441416651265,9.238476925311149,0.08048786942705875,0.15760032534769433,0.6447038426699166,0.14093818975054798,0.9965792406897976,0.015831816083633852,43.9025069637883,0.26740947075208915,True,0.85,0.95,48,True,1,0.95,1,,
2022-06-22_150409,morning-sweep-2,rotten_tomatoes,train,1,1001,sample,sample,reward_fn_contradiction_and_letter_diff,10.0,0,0,35.0,0.8,0.2,30,prithivida/parrot_paraphraser_on_T5,sentence-transformers/paraphrase-MiniLM-L12-v2,howey/electra-small-mnli,textattack/distilbert-base-uncased-rotten-tomatoes,32,False,32,8,0.0001,2,0.10954283717645424,0.19917788069972306,0.41403787178078216,0.3930706870919724,0.02859154020853672,0.07054520185673341,0.6459498416297023,1.2379301376238185,0.0790558612886025,0.13501041501014052,0.8098792366918734,0.10837940821754145,12.234174198916747,9.859025926371258,0.07695179454847809,0.14545953233912742,0.6630230417112637,0.14683395360113424,0.9938265054140577,0.023635291777879843,42.82469717362046,0.27456258411843876,True,0.85,0.95,48,True,1,0.95,1,,
