idx,premise,orig,para,sim_score,label_true,label_vm_orig,label_vm_para,is_adversarial
4246,The two farmers are working on a piece of John Deere equipment.,2 Men are making a pool together,Two men are working together.,0.5888347,2,2,0,0
23223,A little baby with dirty fingers and smudges on her face points to her blue eye.,A baby is playing in the mud.,The child plays in the mud...,0.83441037,1,1,2,1
23150,A little baby with dirty fingers and smudges on her face points to her blue eye.,A baby points at her green eye.,A baby points out her eye.,0.8740221,2,2,0,0
23172,A little baby with dirty fingers and smudges on her face points to her blue eye.,A baby points at her green eye.,a person pointing to her eye,0.6270343,2,2,0,0
6709,A long-beaked bird in mid-flight.,A bird chasing an insect.,Someone has bird and bug,0.45086762,1,1,0,-1
6714,A long-beaked bird in mid-flight.,A bird chasing an insect.,bird running after bugs,0.60477865,1,1,2,0
18102,"A man in a blue windbreaker jacket, laying face down on a park bench, with a liquor bottle nestled by one of the bench's legs.",A Black man is passed out on a park bench from drinking.,There is a man on a park bench.,0.57101715,1,1,0,0
18101,"A man in a blue windbreaker jacket, laying face down on a park bench, with a liquor bottle nestled by one of the bench's legs.",A Black man is passed out on a park bench from drinking.,A man is passing out on a park bench.,0.7668165,1,1,2,0
2631,A older gentleman finds it humorous that he is getting his picture taken while doing his laundry.,a blond man laughs while doing laundry,He was doing laundry. Affirmative action,0.49961364,1,1,0,-1
2629,A older gentleman finds it humorous that he is getting his picture taken while doing his laundry.,a blond man laughs while doing laundry,Man laughs while washing clothes,0.7844226,1,1,0,0
16223,A boy in overalls blows bubbles.,A boy in overalls is playing with bubbles outside.,Someone plays outside and has a bubble system outside,0.5508403,1,1,0,-1
16218,A boy in overalls blows bubbles.,A boy in overalls is playing with bubbles outside.,Some bubbles were being played by a boy inside,0.5902381,1,1,0,-1
10125,A barefooted adolescent boy in a yellow shirt reaching the top of a small skateboarding ramp.,a boy is barefooted,This young man has no footwear,0.652338,0,0,2,1
16244,A boy in overalls blows bubbles.,A boy is blowing bubbles.,A boy is outside.,0.52124673,0,0,1,0
16269,A boy in overalls blows bubbles.,A boy is blowing bubbles.,Kids play Blowing Bubbles in a field,0.49099278,0,0,2,0
13188,A boy in red slides down an inflatable ride.,A boy is playing on an inflatable ride.,a kid on an inflatable ride is playing outside,0.78388464,0,0,1,0
17853,A boy in a baseball cap jumps over a flight of stairs.,A boy jumping through the air.,One of boy jumps into The sky,0.7171563,0,0,2,-1
13050,A boy looks surly as his father looks at the camera.,a boy looks at his farther,he stares far away,0.47463983,0,0,2,-2
13200,A boy in red slides down an inflatable ride.,A boy pierces a knife through an inflatable ride.,A boy is on an inflatable ride.,0.6137138,2,2,0,0
833,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",A child is playing with a ball.,A child is playing outside.,0.6768392,2,2,0,1
832,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",A child is playing with a ball.,The child is holding a ball.,0.8514875,2,2,1,0
12372,A young barefoot girl in a pink dress is jumping outside.,A child is playing.,child play in the playground,0.62830365,0,0,1,0
772,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",A child is reaching to touch the propeller out of curiosity.,The child is looking at the propeller.,0.7766978,1,1,0,0
5709,A person powerwashing stairs leading down to a pool.,a dog chases a cat,canine runs towards feline,0.47305813,2,2,1,1
22186,A dog leaps into the air in a grassy field surrounded by trees.,A dog is in a grassy field filled with trees.,A dog is playing in a field.,0.769492,0,0,1,1
1113,Two men on bicycles competing in a race.,A few people are catching fish.,A few people are outside.,0.6027087,2,2,0,0
21304,A hispanic fruit market with many different fruits and vegetables in view on a city street with a man passing the store dressed in dark pants and a hoodie.,A fruit market is selling vegetables,fruit and veg markets are selling,0.6528452,0,0,1,1
4711,A girl swings high in the air.,A girl is gaining momentum to flip off the swing,The girl is swinging on the swing.,0.75742644,1,1,0,0
4737,A girl swings high in the air.,A girl is gaining momentum to flip off the swing,There is a girl swinging..,0.6503807,1,1,0,0
4784,A girl swings high in the air.,A girl is laying in the pool,A girl is in water...,0.6622852,2,2,0,1
4752,A girl swings high in the air.,A girl is laying in the pool,A girl is in the water.,0.7025586,2,2,0,1
21965,A teenage girl in winter clothes slides down a decline in a red sled.,A girl is on a beach with a blue sled.,a child with a sled on a beach,0.78922623,2,2,1,1
4843,A girl swings high in the air.,A girl is on a swing,One of her friends are swinging,0.5657125,0,0,1,0
18531,A young boy is sitting in a green tunnel,A girl is sitting,A girl is not standing.,0.76623046,2,2,0,1
18544,A young boy is sitting in a green tunnel,A girl is sitting,The girl is not standing.,0.7376427,2,2,0,-1
12986,A boy looks surly as his father looks at the camera.,a girl looks at her father,a father and daughter,0.59166026,2,2,1,1
10276,A group of children enjoy their time on the beach.,A group of adults are swimming at the beach.,A group of people are at the beach.,0.7654475,2,2,0,0
10318,A group of children enjoy their time on the beach.,A group of adults are swimming at the beach.,group in water with ocean,0.63956887,2,2,0,-1
10290,A group of children enjoy their time on the beach.,A group of adults are swimming at the beach.,A group of people are swimming at the beach.,0.89734286,2,2,1,0
10273,A group of children enjoy their time on the beach.,A group of adults are swimming at the beach.,People are swimming at the beach.,0.855074,2,2,1,0
23557,Five people are sitting on horses at a rodeo.,A group of cowboys are sitting on horses.,there a bunch of cowboys sitting down,0.8141543,1,1,0,0
23532,Five people are sitting on horses at a rodeo.,A group of cowboys are sitting on horses.,A group of people are outside.,0.458373,1,1,0,0
